jollyrancher	jolly rancher
head shoulder	head shoulders
headshoulder	head shoulders
headshoulders	head shoulders
helloketty	hello ketty
hellopanda	hello panda
herbalessence	herbal essences
herbalessences	herbal essences
herbal essence	herbal essences
herr	herr's
herrs	herr's
hershey	hershey's
hersheys	hershey's
hostes	hostess
hot tamale	hot tamales
hottamale	hot tamales
hottamales	hot tamales
hothead	hotheads
hubbabubba	hubba bubba
huggie	huggies
hulahoop	hula hoops
hulahoops	hula hoops
hula hoop	hula hoops
hygiene plu	hygiene plus
hygieneplu	hygiene plus
hygieneplus	hygiene plus
icebreaker	ice breaker
jackdaniel	jack daniel's
jack daniel	jack daniel's
jackdaniel's	jack daniel's
jackdaniels	jack daniel's
jack daniels	jack daniel's
jacobs	jacob's
jacob	jacob's
